timestamp,direction,price,fastEma,slowEma,atr,rsi,gapAbs,gapNorm,tradeOutcome,pnl,exitPrice,holdingPeriod
2025-02-12T08:45:00.000Z,SHORT,22998.25,23030.63,23030.97,70.71,43.46,0.34,0.0048,SMALL_PROFIT,8.5,22989.75,2
2025-02-12T09:45:00.000Z,LONG,23057.8,23030.16,23029.31,73.06,48.33,0.85,0.0117,SMALL_PROFIT,164.65,23222.45,81
2025-02-13T08:30:00.000Z,SHORT,23063,23125.39,23130.09,61.16,38.4,4.7,0.0768,SMALL_PROFIT,260.3,22802.7,91
2025-02-17T08:00:00.000Z,LONG,22937.55,22866.79,22861.78,70.09,53,5.01,0.0715,SMALL_PROFIT,33.2,22970.75,6
2025-02-18T05:00:00.000Z,SHORT,22841.45,22885.65,22888.48,59.84,47.79,2.83,0.0473,SMALL_PROFIT,27.75,22813.7,2
2025-02-18T08:00:00.000Z,LONG,22921.45,22881.01,22877.25,61.54,55.33,3.75,0.061,SMALL_PROFIT,112.85,23034.3,83
2025-02-19T08:15:00.000Z,SHORT,22928.5,22946.02,22946.58,51.18,51.31,0.55,0.0108,SMALL_PROFIT,81.5,22847,78
2025-02-19T08:30:00.000Z,LONG,22950.8,22946.98,22946.96,57.93,39.57,0.02,0.0003,BREAKEVEN,0,22950.8,0
2025-02-19T08:45:00.000Z,SHORT,22863.3,22930.24,22939.36,56.83,42.41,9.11,0.1604,SMALL_PROFIT,16.3,22847,76
2025-02-20T09:00:00.000Z,LONG,22912.65,22901.92,22901.65,37.05,52.4,0.28,0.0075,SMALL_PROFIT,4.5,22917.15,2
2025-02-21T04:00:00.000Z,SHORT,22843.5,22892.35,22898,27.53,30.39,5.65,0.2051,SMALL_PROFIT,107.9,22735.6,16
2025-02-25T08:00:00.000Z,LONG,22587.15,22577.89,22577.59,35.89,49.9,0.3,0.0084,BREAKEVEN,0,22587.15,0
2025-02-25T09:30:00.000Z,SHORT,22553.35,22573.43,22575.98,27.43,33.94,2.55,0.0931,SMALL_PROFIT,28.35,22525,179
2025-03-03T08:45:00.000Z,LONG,22146.95,22113.16,22111.07,57.01,52.42,2.09,0.0366,BREAKEVEN,0,22146.95,0
2025-03-04T03:45:00.000Z,SHORT,22001.6,22100.07,22107.3,48.36,41.33,7.23,0.1495,BREAKEVEN,0,22001.6,0
2025-03-04T09:15:00.000Z,LONG,22098.6,22078.37,22076.2,41.89,50.6,2.16,0.0516,SMALL_PROFIT,273.7,22372.3,87
2025-03-10T08:00:00.000Z,SHORT,22565.2,22593.2,22594.7,44.93,42.31,1.5,0.0334,SMALL_PROFIT,202.55,22362.65,80
2025-03-11T08:30:00.000Z,LONG,22501.55,22470.71,22467.83,50,56.69,2.87,0.0575,SMALL_PROFIT,20.55,22522.1,5
2025-03-12T04:30:00.000Z,SHORT,22425.2,22471.49,22474.06,30.95,39.26,2.57,0.0831,SMALL_PROFIT,85.45,22339.75,7
2025-03-12T09:00:00.000Z,LONG,22442.75,22423.37,22420.92,44.76,58.8,2.45,0.0546,SMALL_PROFIT,102.35,22545.1,78
2025-03-13T06:45:00.000Z,SHORT,22436.5,22462.22,22464.54,35.32,47.76,2.32,0.0656,SMALL_PROFIT,53.2,22383.3,12
2025-03-17T04:00:00.000Z,LONG,22553.2,22459.06,22450.28,35.98,64.21,8.78,0.2441,BREAKEVEN,0,22553.2,0
2025-03-25T09:45:00.000Z,SHORT,23605.95,23676.63,23685.34,67.31,52.35,8.72,0.1295,SMALL_PROFIT,89.1,23516.85,89
2025-03-27T05:30:00.000Z,LONG,23602.9,23577.46,23577.32,42.68,49.52,0.15,0.0035,SMALL_PROFIT,8.6,23611.5,2
2025-03-28T03:45:00.000Z,SHORT,23561.9,23592.07,23592.36,35.31,34.8,0.3,0.0084,SMALL_PROFIT,88.65,23473.25,18
2025-03-28T06:30:00.000Z,LONG,23596.45,23584.12,23583.48,25.7,41.58,0.65,0.0252,BREAKEVEN,0,23596.45,0
2025-03-28T06:45:00.000Z,SHORT,23529.3,23573.16,23578.55,31.61,38,5.39,0.1706,SMALL_PROFIT,300.35,23228.95,379
2025-04-02T05:15:00.000Z,LONG,23292.7,23244.79,23244.42,46.93,55.07,0.37,0.0078,SMALL_PROFIT,45.05,23337.75,17
2025-04-03T04:15:00.000Z,SHORT,23234.6,23275.36,23276.28,38.96,50.1,0.93,0.0238,BREAKEVEN,0,23234.6,0
2025-04-03T04:45:00.000Z,LONG,23298.3,23280.3,23278.39,36.41,51.61,1.91,0.0525,BREAKEVEN,0,23298.3,0
2025-04-03T06:45:00.000Z,SHORT,23266.5,23277.96,23278.71,30.28,45.16,0.75,0.0247,SMALL_PROFIT,333.05,22933.45,88
2025-04-08T03:45:00.000Z,LONG,22545.15,22165.6,22141.67,97.83,65.49,23.94,0.2447,SMALL_PROFIT,142.15,22687.3,16
2025-04-09T04:30:00.000Z,SHORT,22371.2,22468.63,22478.05,95.93,45.81,9.42,0.0982,BREAKEVEN,0,22371.2,0
2025-04-11T03:45:00.000Z,LONG,22762.15,22479.88,22450.26,48.51,80.73,29.62,0.6107,SMALL_PROFIT,145.7,22907.85,11
2025-04-22T09:45:00.000Z,SHORT,24134.05,24168.55,24171.17,36.27,73.1,2.62,0.0723,BREAKEVEN,0,24134.05,0
2025-04-23T03:45:00.000Z,LONG,24319.1,24198.66,24184.62,34.26,73.23,14.04,0.4099,SMALL_PROFIT,1.55,24320.65,1
2025-04-24T06:45:00.000Z,SHORT,24257.25,24267.08,24267.52,33.88,50.21,0.44,0.013,SMALL_PROFIT,329.75,23927.5,88
2025-04-25T03:45:00.000Z,LONG,24319.35,24261.06,24259.74,25.86,42.01,1.32,0.0509,BREAKEVEN,0,24319.35,0
2025-04-25T04:00:00.000Z,SHORT,24208.15,24250.48,24255.05,25.06,29.27,4.58,0.1825,SMALL_PROFIT,335.65,23872.5,9
2025-04-25T09:15:00.000Z,LONG,24076.95,24063.56,24062.11,68.57,47.79,1.45,0.0212,SMALL_PROFIT,271.8,24348.75,280
2025-04-25T09:45:00.000Z,SHORT,23991.65,24047.48,24054.95,69.74,54.32,7.47,0.107,BREAKEVEN,0,23991.65,0
2025-04-28T03:45:00.000Z,LONG,24117.95,24061.57,24060.67,65.86,58.72,0.9,0.0137,SMALL_PROFIT,232.65,24350.6,19
2025-04-30T05:30:00.000Z,SHORT,24329.95,24337.69,24338.52,30.52,49.01,0.83,0.0273,SMALL_PROFIT,83.7,24246.25,17
